[2024-05-21T09:34:08.460+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_431201.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_431201.csv, skipping download.
[2024-05-21T09:34:08.464+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_430401.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_430401.csv, skipping download.
[2024-05-21T09:34:08.467+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_430201.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_430201.csv, skipping download.
[2024-05-21T09:34:08.472+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_429601.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_429601.csv, skipping download.
[2024-05-21T09:34:08.478+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_429301.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_429301.csv, skipping download.
[2024-05-21T09:34:08.482+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_429201.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_429201.csv, skipping download.
[2024-05-21T09:34:08.486+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_426401.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_426401.csv, skipping download.
[2024-05-21T09:34:08.490+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_426201.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_426201.csv, skipping download.
[2024-05-21T09:34:08.494+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_425301.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_425301.csv, skipping download.
[2024-05-21T09:34:08.498+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_425201.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_425201.csv, skipping download.
[2024-05-21T09:34:08.501+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_424301.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_424301.csv, skipping download.
